iter	Passed	Remaining
442	1150	1446
443	1152	1442
444	1153	1438
445	1155	1434
446	1157	1431
447	1158	1427
448	1160	1423
449	1161	1420
450	1163	1416
451	1165	1412
452	1166	1408
453	1168	1404
454	1169	1401
455	1171	1397
456	1173	1393
457	1174	1390
458	1176	1386
459	1177	1382
460	1179	1379
461	1181	1375
462	1182	1371
463	1184	1368
464	1186	1364
465	1187	1361
466	1189	1357
467	1191	1354
468	1193	1351
469	1195	1348
470	1197	1344
471	1198	1341
472	1200	1337
473	1203	1335
474	1204	1331
475	1206	1328
476	1208	1325
477	1210	1322
478	1212	1318
479	1214	1315
480	1216	1312
481	1218	1309
482	1220	1306
483	1222	1303
484	1224	1300
485	1227	1297
486	1228	1294
487	1232	1293
488	1234	1290
489	1236	1287
490	1238	1283
491	1240	1281
492	1242	1277
493	1243	1274
494	1246	1271
495	1248	1268
496	1249	1264
497	1251	1261
498	1252	1257
499	1254	1254
500	1256	1251
501	1257	1247
502	1259	1244
503	1261	1240
504	1262	1237
505	1263	1233
506	1265	1230
507	1266	1226
508	1268	1223
509	1269	1219
510	1271	1216
511	1272	1212
512	1274	1209
513	1275	1206
514	1277	1202
515	1278	1199
516	1279	1195
517	1281	1192
518	1282	1188
519	1283	1184
520	1284	1181
521	1285	1177
522	1286	1173
523	1288	1170
524	1289	1166
525	1290	1163
526	1291	1159
527	1292	1155
528	1293	1151
529	1294	1148
530	1296	1144
531	1297	1141
532	1298	1137
533	1299	1134
534	1300	1130
535	1301	1126
536	1303	1123
537	1304	1120
538	1305	1116
539	1306	1112
540	1307	1109
541	1308	1105
542	1309	1102
543	1310	1098
544	1311	1095
545	1313	1091
546	1314	1088
547	1315	1084
548	1316	1081
549	1317	1077
550	1318	1074
551	1319	1071
552	1320	1067
553	1321	1064
554	1322	1060
555	1324	1057
556	1325	1054
557	1326	1050
558	1327	1047
559	1328	1044
560	1329	1040
561	1330	1037
562	1332	1033
563	1333	1030
564	1334	1027
565	1335	1023
566	1336	1020
567	1337	1017
568	1338	1014
569	1339	1010
570	1340	1007
571	1342	1004
572	1343	1000
573	1344	997
574	1345	994
575	1346	991
576	1347	987
577	1348	984
578	1349	981
579	1350	978
580	1351	974
581	1352	971
582	1353	968
583	1354	965
584	1356	961
585	1357	958
586	1358	955
587	1359	952
588	1360	949
589	1361	946
590	1362	942
591	1363	939
592	1364	936
593	1365	933
594	1366	930
595	1367	927
596	1369	924
597	1370	921
598	1371	918
599	1372	914
600	1373	911
601	1374	908
602	1375	905
603	1376	902
604	1377	899
605	1378	896
606	1379	893
607	1381	890
608	1382	887
609	1383	884
610	1384	881
611	1385	878
612	1386	875
613	1387	872
614	1388	869
615	1389	866
616	1390	863
617	1392	860
618	1393	857
619	1394	854
620	1395	851
621	1396	848
622	1397	845
623	1398	842
624	1399	839
625	1400	836
626	1401	834
627	1403	831
628	1404	828
629	1405	825
630	1406	822
631	1407	819
632	1409	816
633	1410	814
634	1411	811
635	1412	808
636	1413	805
637	1415	802
638	1416	800
639	1417	797
640	1418	794
641	1419	791
642	1420	788
643	1421	785
644	1422	783
645	1424	780
646	1425	777
647	1426	775
648	1428	772
649	1429	769
650	1430	766
651	1431	764
652	1432	761
653	1433	758
654	1435	755
655	1436	753
656	1437	750
657	1438	747
658	1439	744
659	1440	742
660	1441	739
661	1442	736
662	1443	733
663	1444	731
664	1445	728
665	1447	725
666	1448	722
667	1449	720
668	1450	717
669	1451	714
670	1452	712
671	1453	709
672	1455	706
673	1456	704
674	1457	701
675	1458	698
676	1459	696
677	1460	693
678	1461	690
679	1462	688
680	1463	685
681	1464	682
682	1465	680
683	1466	677
684	1467	675
685	1469	672
686	1470	669
687	1471	667
688	1472	664
689	1473	661
690	1474	659
691	1475	656
692	1476	654
693	1478	651
694	1479	649
695	1480	646
696	1482	644
697	1483	641
698	1484	639
699	1486	636
700	1487	634
701	1488	631
702	1489	629
703	1490	626
704	1491	624
705	1492	621
706	1493	619
707	1495	616
708	1496	614
709	1497	611
710	1498	609
711	1499	606
712	1500	604
713	1501	601
714	1502	599
715	1504	596
716	1505	594
717	1506	591
718	1507	589
719	1509	586
720	1510	584
721	1511	581
722	1512	579
723	1513	576
724	1514	574
725	1515	572
726	1516	569
727	1517	567
728	1519	564
729	1520	562
730	1521	559
731	1522	557
732	1523	554
733	1524	552
734	1525	549
735	1526	547
736	1527	545
737	1528	542
738	1529	540
739	1530	537
740	1531	535
741	1533	533
742	1534	530
743	1535	528
744	1536	525
745	1537	523
746	1538	521
747	1539	518
748	1540	516
749	1541	513
750	1542	511
751	1544	509
752	1545	506
753	1546	504
754	1547	502
755	1548	499
756	1549	497
757	1551	495
758	1552	492
759	1553	490
760	1554	488
761	1555	485
762	1556	483
763	1557	481
764	1558	478
765	1559	476
766	1560	474
767	1562	471
768	1563	469
769	1564	467
770	1565	464
771	1566	462
772	1567	460
773	1568	457
774	1569	455
775	1570	453
776	1571	451
777	1572	448
778	1573	446
779	1575	444
780	1576	442
781	1577	439
782	1578	437
783	1579	435
784	1581	433
785	1582	430
786	1583	428
787	1585	426
788	1586	424
789	1587	422
790	1589	419
791	1590	417
792	1591	415
793	1592	413
794	1593	410
795	1595	408
796	1596	406
797	1597	404
798	1598	402
799	1599	399
800	1601	397
801	1602	395
802	1603	393
803	1604	391
804	1606	389
805	1607	386
806	1608	384
807	1609	382
808	1610	380
809	1611	378
810	1613	375
811	1614	373
812	1615	371
813	1616	369
814	1617	367
815	1618	365
816	1619	362
817	1620	360
818	1622	358
819	1623	356
820	1624	354
821	1625	351
822	1626	349
823	1627	347
824	1628	345
825	1629	343
826	1630	341
827	1632	339
828	1633	336
829	1634	334
830	1635	332
831	1636	330
832	1637	328
833	1638	326
834	1639	323
835	1640	321
836	1641	319
837	1642	317
838	1643	315
839	1644	313
840	1646	311
841	1647	309
842	1648	306
843	1649	304
844	1650	302
845	1651	300
846	1652	298
847	1653	296
848	1654	294
849	1655	292
850	1656	290
851	1657	287
852	1658	285
853	1659	283
854	1661	281
855	1662	279
856	1663	277
857	1664	275
858	1665	273
859	1666	271
860	1667	269
861	1668	267
862	1669	265
863	1670	262
864	1671	260
865	1672	258
866	1673	256
867	1675	254
868	1676	252
869	1677	250
870	1678	248
871	1679	246
872	1680	244
873	1681	242
874	1682	240
875	1683	238
876	1685	236
877	1686	234
878	1687	232
879	1688	230
880	1689	228
881	1690	226
882	1691	224
883	1692	222
884	1693	220
885	1695	218
886	1696	216
887	1697	214
888	1698	212
889	1699	210
890	1700	208
891	1701	205
892	1702	203
893	1703	202
894	1705	200
895	1706	198
896	1707	196
897	1708	194
898	1709	192
899	1710	190
900	1711	188
901	1712	186
902	1713	184
903	1714	182
904	1715	180
905	1716	178
906	1717	176
907	1719	174
908	1720	172
909	1721	170
910	1722	168
911	1723	166
912	1724	164
913	1725	162
914	1726	160
915	1727	158
916	1728	156
917	1729	154
918	1731	152
919	1732	150
920	1733	148
921	1734	146
922	1735	144
923	1736	142
924	1737	140
925	1738	138
926	1739	136
